718,0,1,2
3600,0,1,2
2438,0,1,2
8b0,0,1,2
3ab8,0,1,0
2c50,0,1,0
988,0,1,0
11d8,0,1,1
360,0,1,2
2a8,0,1,1
11f8,0,1,1
18d8,0,1,1
d80,0,1,2
3828,0,1,0
1290,0,1,2
2610,0,1,0
90,0,1,1
940,0,1,2
3ad8,0,1,0
2478,0,1,2
28b8,0,1,0
c78,0,1,1
3f10,0,1,2
19d8,0,1,2
1038,0,1,0
3c28,0,1,1
36e0,0,1,1
29d0,0,1,1
c08,0,1,0
8f0,0,1,0
be8,0,1,2
368,0,1,0
30f0,0,1,0
1690,0,1,2
29b0,0,1,1
1938,0,1,1
35c8,0,1,2
3cc0,0,1,2
248,0,1,2
e58,0,1,0
1c38,0,1,2
2f40,0,1,1
248,0,1,2
2878,0,1,0
2f20,0,1,1
2270,0,1,0
1930,0,1,0
36e0,0,1,2
24a0,0,1,0
24e8,0,1,2
1d28,0,1,1
3a80,0,1,0
2858,0,1,1
1a90,0,1,2
9c0,0,1,1
3098,0,1,1
1f38,0,1,2
32c0,0,1,2
1010,0,1,2
1d20,0,1,1
538,0,1,1
2a00,0,1,0
608,0,1,1
2e98,0,1,2
17e8,0,1,0
10c0,0,1,1
1a10,0,1,2
3bb0,0,1,2
3d60,0,1,0
29d8,0,1,1
2d60,0,1,0
16b8,0,1,1
1758,0,1,1
2070,0,1,1
1858,0,1,0
1580,0,1,2
2430,0,1,2
33b8,0,1,2
20f0,0,1,0
2d30,0,1,0
2770,0,1,2
640,0,1,2
2f48,0,1,1
2270,0,1,0
c98,0,1,0
2680,0,1,0
2d30,0,1,2
968,0,1,2
fc8,0,1,2
b0,0,1,2
2760,0,1,2
1538,0,1,2
2638,0,1,0
35e8,0,1,0
1b08,0,1,0
3b80,0,1,1
38c8,0,1,0
58,0,1,0
2348,0,1,2
2b0,0,1,0
